satisfaction_level,last_evaluation,number_project,average_monthly_hours,tenure,work_accident,left,promotion_last_5years,department,salary,predicted_probability,predicted_label,model_name,model_accuracy,model_auc,model_precision,model_recall,model_f1,top_feature
0.43,0.47,2,147,3,0,1,0,support,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.37,0.46,2,140,3,0,1,0,support,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.9,0.98,4,264,6,0,1,0,product_mng,medium,0.5274367538368127,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.44,0.45,2,132,3,0,1,0,sales,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.1,0.84,6,279,4,0,1,0,sales,low,0.832615748396242,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.42,0.46,2,150,3,0,1,0,sales,medium,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.09,0.94,7,267,4,0,1,0,sales,medium,0.832615748396242,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.91,1.0,4,257,5,0,1,0,accounting,medium,0.5536670288334116,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.44,0.5,2,148,3,0,1,0,accounting,medium,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.71,0.87,3,177,4,0,1,0,hr,medium,0.034869502365617935,0,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.4,0.49,2,155,3,0,1,0,hr,medium,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.09,0.85,6,289,4,0,1,0,hr,high,0.832615748396242,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.37,0.48,2,137,3,0,1,0,technical,medium,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.37,0.57,2,133,3,0,1,0,technical,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.4,0.46,2,132,3,0,1,0,technical,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.14,0.62,4,158,4,1,1,0,technical,low,0.0364755740936614,0,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.75,1.0,4,216,6,0,1,0,technical,low,0.5299459618100035,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.7,0.89,3,183,5,0,1,0,support,low,0.4157485036264699,0,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.09,0.82,6,250,4,0,1,0,support,low,0.8315496569126914,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.38,0.57,2,140,3,0,1,0,support,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.73,0.87,5,257,5,0,1,0,IT,low,0.7278333299717217,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.39,0.5,2,147,3,0,1,0,marketing,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.11,0.91,6,278,4,0,1,0,marketing,low,0.832615748396242,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.11,0.8,6,304,4,0,1,0,accounting,low,0.8309936669845595,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.83,1.0,5,240,5,0,1,0,support,low,0.7278333299717217,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.39,0.5,2,136,3,0,1,0,management,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.31,0.54,5,132,5,0,1,0,sales,low,0.027506648480126024,0,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.32,0.5,2,135,5,0,1,0,sales,low,0.7043221544093888,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.45,0.57,2,158,3,0,1,0,sales,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.1,0.84,6,261,4,0,1,0,accounting,medium,0.832615748396242,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.4,0.46,2,143,3,0,1,0,hr,medium,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.92,0.87,4,226,6,1,1,0,technical,medium,0.5257975341112999,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.76,1.0,5,219,5,0,1,0,support,low,0.7278333299717217,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.38,0.5,2,153,3,0,1,0,support,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.77,0.99,5,228,5,0,1,0,support,low,0.7278333299717217,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.78,0.87,4,228,5,0,1,0,support,low,0.5495186011347079,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.38,0.52,2,153,3,0,1,0,support,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.36,0.48,2,158,3,0,1,0,IT,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.43,0.53,2,131,3,0,1,0,IT,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.87,0.9,5,252,5,0,1,0,IT,low,0.7278333299717217,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.85,0.95,5,236,5,0,1,0,hr,low,0.7278333299717217,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.78,0.98,5,239,6,0,1,0,marketing,low,0.7041122629483135,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.83,0.85,4,255,5,0,1,0,management,low,0.5495186011347079,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.43,0.45,2,135,3,0,1,0,marketing,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.4,0.5,2,128,3,0,1,0,sales,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.89,0.86,5,275,5,0,1,0,sales,low,0.7278333299717217,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.45,0.46,2,155,3,0,1,0,sales,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.11,0.84,6,298,4,0,1,0,sales,low,0.832615748396242,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.19,0.59,7,192,3,0,1,0,sales,low,0.21198631119149164,0,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.46,0.46,2,154,3,0,1,0,accounting,medium,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.82,0.97,5,263,5,0,1,0,hr,medium,0.7278333299717217,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.44,0.56,2,131,3,0,1,0,hr,medium,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.11,0.95,6,286,4,0,1,0,technical,medium,0.832615748396242,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.45,0.53,2,129,3,0,1,0,technical,high,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.38,0.56,2,156,3,0,1,0,technical,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.74,0.89,5,229,6,0,1,0,support,low,0.7041122629483135,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.09,0.78,6,254,4,0,1,0,support,low,0.7988566862790956,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.1,0.98,6,268,4,0,1,0,support,low,0.832615748396242,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.1,0.93,6,289,4,1,1,0,support,low,0.8298488597995783,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.4,0.52,2,147,3,0,1,0,product_mng,medium,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.45,0.48,2,136,3,0,1,0,product_mng,medium,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.45,0.55,2,151,3,0,1,0,IT,medium,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.11,0.81,5,287,4,0,1,0,sales,low,0.4129002032691671,0,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.1,0.94,6,285,4,0,1,0,support,medium,0.832615748396242,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.41,0.49,2,130,3,0,1,0,marketing,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.73,0.86,4,245,6,0,1,0,sales,low,0.5257975341112999,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.37,0.46,2,153,3,0,1,0,sales,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.41,0.54,2,153,3,1,1,0,sales,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.41,0.52,2,135,3,0,1,0,sales,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.38,0.57,2,140,3,0,1,0,sales,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.1,0.81,6,290,4,0,1,0,accounting,medium,0.8320050377514207,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.39,0.5,2,142,3,0,1,0,hr,medium,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.1,0.91,6,246,4,0,1,0,hr,medium,0.832615748396242,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.37,0.52,2,155,3,0,1,0,technical,medium,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.81,1.0,4,253,5,0,1,0,technical,low,0.5536670288334116,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.4,0.46,2,149,3,0,1,0,technical,medium,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.91,0.91,4,262,6,0,1,0,support,low,0.5257975341112999,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.43,0.57,2,135,3,0,1,0,support,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.33,0.88,6,219,5,0,1,0,support,low,0.7566188433715288,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.41,0.55,2,154,3,0,1,0,support,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.37,0.54,2,149,3,0,1,0,support,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.76,0.9,4,263,5,0,1,0,support,low,0.5495186011347079,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.4,0.5,2,141,3,1,1,0,technical,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.1,0.82,6,266,4,0,1,0,IT,low,0.8315496569126914,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.37,0.45,2,142,3,0,1,0,IT,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.73,0.99,5,262,5,0,1,0,product_mng,medium,0.7278333299717217,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.56,0.71,4,296,2,0,1,0,IT,medium,0.0075320576424467,0,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.44,0.56,2,158,3,0,1,0,accounting,medium,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.38,0.46,2,145,3,0,1,0,hr,medium,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.36,0.48,2,156,3,0,1,0,accounting,high,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.45,0.55,2,148,3,0,1,0,sales,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.84,1.0,4,261,5,0,1,0,sales,low,0.5536670288334116,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.1,0.87,6,250,4,0,1,0,sales,low,0.832615748396242,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.76,0.92,4,246,5,0,1,0,sales,low,0.5495186011347079,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.74,1.0,5,275,5,0,1,0,sales,low,0.7278333299717217,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.76,0.87,5,245,5,0,1,0,sales,low,0.7278333299717217,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.82,0.98,4,233,5,0,1,0,sales,low,0.5511578208602206,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.86,1.0,5,257,5,0,1,0,technical,medium,0.7278333299717217,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.45,0.46,2,130,3,0,1,0,technical,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.74,0.92,4,261,5,0,1,0,technical,medium,0.5495186011347079,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.89,0.65,5,195,6,0,1,0,support,low,0.022471288294655868,0,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.41,0.57,2,160,3,0,1,0,support,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.44,0.51,2,150,3,0,1,0,support,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.1,0.84,6,309,4,0,1,0,support,low,0.832615748396242,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.85,0.98,5,248,5,0,1,0,product_mng,medium,0.7278333299717217,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.1,0.87,6,286,4,0,1,0,IT,medium,0.832615748396242,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.44,0.53,2,127,3,0,1,0,RandD,medium,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.86,0.93,5,223,5,0,1,0,RandD,medium,0.7278333299717217,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.4,0.48,2,137,3,0,1,0,sales,medium,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.8,0.85,4,273,5,0,1,0,management,low,0.5495186011347079,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.37,0.48,2,134,3,0,1,0,marketing,medium,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.1,0.85,6,260,4,0,1,0,sales,low,0.832615748396242,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.11,0.87,5,271,4,0,1,0,sales,low,0.4219344322552359,0,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.11,0.96,7,277,5,0,1,0,sales,low,0.7579811622121087,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.1,0.79,6,274,4,0,1,0,sales,low,0.8309936669845595,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.77,0.87,4,242,6,0,1,0,sales,low,0.5257975341112999,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.42,0.54,2,143,3,1,1,0,sales,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.38,0.49,2,135,3,0,1,0,accounting,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.76,0.88,4,206,4,0,1,0,hr,medium,0.053778750905818636,0,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.11,0.83,6,244,4,0,1,0,hr,medium,0.832615748396242,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.84,1.0,5,218,5,0,1,0,technical,medium,0.7278333299717217,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.44,0.48,2,143,3,0,1,0,technical,medium,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.89,0.95,2,181,5,0,1,0,technical,medium,0.051470723472751154,0,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.11,0.97,6,289,5,0,1,0,support,medium,0.7566188433715288,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.09,0.96,6,259,4,0,1,0,support,low,0.832615748396242,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.44,0.54,2,151,3,0,1,0,management,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.74,0.99,4,233,5,0,1,0,IT,low,0.5511578208602206,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.75,0.99,5,221,5,0,1,0,product_mng,low,0.7278333299717217,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.41,0.56,2,150,3,0,1,0,product_mng,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
